"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\event-bus.service.js", "JavaScript", 25, 0, 0, 0, 0, 0, 13, 7, 45
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\hook.service.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\http.service.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\interactions.service.js", "JavaScript", 52, 0, 0, 0, 0, 0, 2, 16, 70
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\message.service.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\notifications.service.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\post.service.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\socket.service.js", "JavaScript", 44, 0, 0, 0, 0, 0, 55, 12, 111
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\upload.service.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\user.service.js", "JavaScript", 75, 0, 0, 0, 0, 0, 1, 14, 90
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\services\util.service.js", "JavaScript", 102, 0, 0, 0, 0, 0, 2, 19, 123
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\store\actions\post.actions.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 8, 71
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\store\actions\user.actions.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 13, 104
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\store\reducers\post.reducer.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 6, 77
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\store\reducers\user.reducer.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 5, 40
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\store\store.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 761, 6074, 1456, 13, 2463, 1, 166, 1394, 12328
